model,MAE,RMSE,sMAPE_pct,WAPE_pct
lag_mlp_revin,52.9139044695971,90.67232428646291,12.660749451370862,8.79023269216888
lag_mlp,53.98235376854332,93.92034441763622,12.767389379360484,8.967727020959499
temporal_transformer_revin,56.61554463615223,99.00696212292945,12.870525470535151,9.405161390643475
temporal_transformer,59.1799313143808,107.43699901759928,13.176842978843817,9.831165780988153
seasonal_naive_7,86.0688775510204,158.33145774041267,18.526998957233697,14.298046398408607
moving_average_28,104.75791773990709,180.31092571504254,18.93523407145387,17.402731522297003
