model,epoch,train_mae_norm,val_mae_norm
lag_mlp,1,0.47128506509527085,0.48179692402482033
lag_mlp,2,0.4266894709679388,0.46666525304317474
lag_mlp,3,0.4214550607627438,0.475229412317276
lag_mlp,4,0.41965425975861087,0.46941252797842026
lag_mlp,5,0.41604043759645953,0.4633954055607319
lag_mlp,6,0.41217090525934774,0.46376654133200645
lag_mlp,7,0.4108749942914132,0.46827781572937965
lag_mlp,8,0.40824041900134855,0.46340252459049225
temporal_transformer,1,0.5429551156778489,0.5745226219296455
temporal_transformer,2,0.47801583212229515,0.5328707881271839
temporal_transformer,3,0.4603887334946663,0.5088365003466606
temporal_transformer,4,0.4488316639777153,0.5055240131914616
temporal_transformer,5,0.4443915676205389,0.5090258829295635
temporal_transformer,6,0.44064863410688215,0.5056615583598614
temporal_transformer,7,0.43737483961928275,0.48632456362247467
temporal_transformer,8,0.4329808770168212,0.4847755581140518
